R-square,MAE,RSME,MedAE,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.3163,74.6337,119.81202499999999,41.765750000000004,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,,,0,True
0.31605,74.65854999999999,119.836275,41.769724999999994,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,StandardScaler(),,0,True
0.316275,74.649875,119.81915,41.77165,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,MinMaxScaler(),,0,True
0.31670000000000004,74.6191,119.78420000000001,41.719125,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,MaxAbsScaler(),,0,True
0.31615000000000004,74.643075,119.82772500000002,41.696775,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,RobustScaler(),,0,True
0.316575,74.586725,119.79360000000001,41.754425000000005,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,PowerTransformer(),,0,True
0.317975,74.57445,119.66657500000001,41.73745,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,QuantileTransformer(random_state=27033074),,0,True
0.318175,74.50975000000001,119.64885,41.77589999999999,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
-419348.51887500007,13624.066074999999,43183.364425,2196.7927,"MLPRegressor(max_iter=10000, random_state=27033074)",388,,,0,True
-1.9420749999999998,133.3009,236.79629999999997,76.854225,"MLPRegressor(max_iter=10000, random_state=27033074)",388,StandardScaler(),,0,True
-1.108325,123.324325,204.0643,73.7329,"MLPRegressor(max_iter=10000, random_state=27033074)",388,MinMaxScaler(),,0,True
-1.062425,120.47385,202.32704999999999,71.6289,"MLPRegressor(max_iter=10000, random_state=27033074)",388,MaxAbsScaler(),,0,True
-1.2327750000000002,120.820525,208.261425,69.02007499999999,"MLPRegressor(max_iter=10000, random_state=27033074)",388,RobustScaler(),,0,True
-0.058800000000000005,107.97175000000001,147.76287499999998,80.6353,"MLPRegressor(max_iter=10000, random_state=27033074)",388,PowerTransformer(),,0,True
-0.006950000000000003,95.170275,143.84495,61.092949999999995,"MLPRegressor(max_iter=10000, random_state=27033074)",388,QuantileTransformer(random_state=27033074),,0,True
-0.1113,106.68409999999999,150.7923,77.433875,"MLPRegressor(max_iter=10000, random_state=27033074)",388,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
-0.2145,79.89,159.647,16.3375,SVR(gamma='auto'),388,,,0,True
-0.170025,75.56035,156.70102500000002,13.044374999999999,SVR(gamma='auto'),388,StandardScaler(),,0,True
-0.20847499999999997,79.379375,159.24575,15.573400000000001,SVR(gamma='auto'),388,MinMaxScaler(),,0,True
-0.2085,79.41755,159.24857500000002,15.7132,SVR(gamma='auto'),388,MaxAbsScaler(),,0,True
-0.18605,77.45092500000001,157.75585,16.28925,SVR(gamma='auto'),388,RobustScaler(),,0,True
-0.113825,72.443375,152.937175,12.671125,SVR(gamma='auto'),388,PowerTransformer(),,0,True
-0.13585,73.69550000000001,154.43975,12.479949999999999,SVR(gamma='auto'),388,QuantileTransformer(random_state=27033074),,0,True
-0.187275,77.099275,157.873675,12.995024999999998,SVR(gamma='auto'),388,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
0.1823,80.03377499999999,130.78715,48.29625,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",388,,,0,True
0.24027500000000002,80.40164999999999,126.287625,50.9375,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",388,StandardScaler(),,0,True
0.2024,83.8199,129.553125,55.498749999999994,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",388,MinMaxScaler(),,0,True
0.197625,83.954525,129.9013,56.051249999999996,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",388,MaxAbsScaler(),,0,True
0.23959999999999998,78.741725,126.06895,48.795,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",388,RobustScaler(),,0,True
0.287625,77.76287500000001,122.258525,49.323750000000004,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",388,PowerTransformer(),,0,True
0.301925,76.69872500000001,120.7864,46.933749999999996,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",388,QuantileTransformer(random_state=27033074),,0,True
0.24582500000000002,80.357975,125.66637500000002,52.816250000000004,"KNeighborsRegressor(n_jobs=-1, n_neighbors=10)",388,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
-4.160775,228.064525,319.604375,127.025,LogisticRegression(random_state=27033074),388,,,0,True
0.070875,70.37805,139.01405,14.45,LogisticRegression(random_state=27033074),388,StandardScaler(),,0,True
-0.1376,76.78119999999998,154.38877499999998,14.8125,LogisticRegression(random_state=27033074),388,MinMaxScaler(),,0,True
-0.140175,76.9784,154.567325,15.4625,LogisticRegression(random_state=27033074),388,MaxAbsScaler(),,0,True
-0.004424999999999998,73.9881,144.48430000000002,15.8875,LogisticRegression(random_state=27033074),388,RobustScaler(),,0,True
0.07604999999999999,70.31252500000001,138.62275,14.2875,LogisticRegression(random_state=27033074),388,PowerTransformer(),,0,True
0.055200000000000006,69.2842,140.300875,13.1375,LogisticRegression(random_state=27033074),388,QuantileTransformer(random_state=27033074),,0,True
-0.026299999999999997,73.132275,144.53950000000003,15.4125,LogisticRegression(random_state=27033074),388,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
-0.31332499999999996,92.6576,164.08255,30.2625,DecisionTreeRegressor(random_state=27033074),388,,,0,True
-0.30765000000000003,92.4568,163.80165000000002,30.275,DecisionTreeRegressor(random_state=27033074),388,StandardScaler(),,0,True
-0.312625,92.57562499999999,164.0378,29.9875,DecisionTreeRegressor(random_state=27033074),388,MinMaxScaler(),,0,True
-0.310825,92.53745,163.96345000000002,30.1375,DecisionTreeRegressor(random_state=27033074),388,MaxAbsScaler(),,0,True
-0.31572500000000003,92.78545,164.25585,30.2,DecisionTreeRegressor(random_state=27033074),388,RobustScaler(),,0,True
-0.25149999999999995,90.221575,160.19727500000002,29.0625,DecisionTreeRegressor(random_state=27033074),388,PowerTransformer(),,0,True
-0.30060000000000003,92.222425,163.44160000000002,30.05,DecisionTreeRegressor(random_state=27033074),388,QuantileTransformer(random_state=27033074),,0,True
-0.260625,90.90270000000001,161.057375,29.6625,DecisionTreeRegressor(random_state=27033074),388,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
-4617.5867499999995,3397.847175,6554.469775,2380.1835,RidgeCV(),388,,,0,True
-0.657625,103.65495000000001,180.7301,60.71600000000001,RidgeCV(),388,StandardScaler(),,0,True
0.17285,81.44555,131.431275,53.01244999999999,RidgeCV(),388,MinMaxScaler(),,0,True
0.16712500000000002,81.5637,131.867275,53.219899999999996,RidgeCV(),388,MaxAbsScaler(),,0,True
-1.61205,124.38775000000001,229.34099999999998,66.90895,RidgeCV(),388,RobustScaler(),,0,True
0.157725,94.71565,132.28095,71.427775,RidgeCV(),388,PowerTransformer(),,0,True
0.274925,83.87247500000001,123.23175,59.572174999999994,RidgeCV(),388,QuantileTransformer(random_state=27033074),,0,True
0.082925,97.588775,137.71857500000002,72.694075,RidgeCV(),388,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True
