R-square,MAE,RSME,MedAE,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold
0.31385,74.88765,120.034375,42.11915,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,,,0,False
0.3135,74.923375,120.068,42.23735,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,StandardScaler(),,0,False
0.313625,74.91735,120.0576,42.1945,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,MinMaxScaler(),,0,False
0.313875,74.892725,120.0299,42.121675,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,MaxAbsScaler(),,0,False
0.3136,74.898425,120.050575,42.10635,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,RobustScaler(),,0,False
0.3128,74.98335,120.125475,42.295925,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,PowerTransformer(),,0,False
0.31495,74.891125,119.940675,42.060425,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,QuantileTransformer(random_state=27033074),,0,False
0.315225,74.8151,119.917575,41.993175,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,False
-0.24015,125.15645,157.340325,107.06855,"RandomForestRegressor(n_estimators=500, n_jobs=-1, random_state=27033074)",388,normalize,,0,False
-77670.711875,7987.096325,32130.8682,1231.8662,"MLPRegressor(max_iter=10000, random_state=27033074)",388,,,0,False
-21.8087,146.4271,328.445575,81.086925,"MLPRegressor(max_iter=10000, random_state=27033074)",388,StandardScaler(),,0,False
-2.3351,135.171325,241.96045,83.402725,"MLPRegressor(max_iter=10000, random_state=27033074)",388,MinMaxScaler(),,0,False
-1.7773,133.7411,227.41375,80.55525,"MLPRegressor(max_iter=10000, random_state=27033074)",388,MaxAbsScaler(),,0,False
