F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold,support
0.77555,0.78175,0.77255,0.795825,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,,,0,False,60
0.774975,0.7809,0.77215,0.795225,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,StandardScaler(),,0,False,60
0.77515,0.781375,0.77215,0.79545,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,MinMaxScaler(),,0,False,60
0.774625,0.780325,0.77215,0.79485,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,MaxAbsScaler(),,0,False,60
0.77485,0.781125,0.771675,0.79525,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,RobustScaler(),,0,False,60
0.77565,0.7809,0.77375,0.795625,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,PowerTransformer(),,0,False,60
0.7747,0.77985,0.77255,0.79485,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,QuantileTransformer(random_state=27033074),,0,False,60
0.774075,0.7788,0.77255,0.7941,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,False,60
0.7679,0.736725,0.811675,0.776875,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,normalize,,0,False,60
0.68795,0.635925,0.831275,0.685175,"MLPClassifier(max_iter=10000, random_state=27033074)",401,,,0,False,60
0.72665,0.742075,0.7146,0.7546,"MLPClassifier(max_iter=10000, random_state=27033074)",401,StandardScaler(),,0,False,60
0.723525,0.73475,0.71705,0.750375,"MLPClassifier(max_iter=10000, random_state=27033074)",401,MinMaxScaler(),,0,False,60
0.7292,0.739275,0.724575,0.755125,"MLPClassifier(max_iter=10000, random_state=27033074)",401,MaxAbsScaler(),,0,False,60
0.7163,0.741175,0.69625,0.7485,"MLPClassifier(max_iter=10000, random_state=27033074)",401,RobustScaler(),,0,False,60
