F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold,support
0.77315,0.7888,0.7604,0.796375,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,,,0,True,60
0.77315,0.788775,0.7604,0.796375,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,StandardScaler(),,0,True,60
0.773975,0.789575,0.76125,0.79715,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,MinMaxScaler(),,0,True,60
0.773725,0.789525,0.760825,0.79695,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,MaxAbsScaler(),,0,True,60
0.773175,0.788775,0.76045,0.796375,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,RobustScaler(),,0,True,60
0.7758,0.791275,0.76335,0.798675,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,PowerTransformer(),,0,True,60
0.771475,0.78515,0.760425,0.794275,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,QuantileTransformer(random_state=27033074),,0,True,60
0.7723,0.78595,0.761275,0.795025,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True,60
0.60005,0.640525,0.664625,0.6399,"MLPClassifier(max_iter=10000, random_state=27033074)",401,,,0,True,60
0.725775,0.739025,0.715375,0.753425,"MLPClassifier(max_iter=10000, random_state=27033074)",401,StandardScaler(),,0,True,60
0.719875,0.734425,0.709175,0.748725,"MLPClassifier(max_iter=10000, random_state=27033074)",401,MinMaxScaler(),,0,True,60
0.714975,0.728875,0.704975,0.743725,"MLPClassifier(max_iter=10000, random_state=27033074)",401,MaxAbsScaler(),,0,True,60
0.721275,0.7483,0.69875,0.753425,"MLPClassifier(max_iter=10000, random_state=27033074)",401,RobustScaler(),,0,True,60
0.7491,0.756975,0.7446,0.772325,"MLPClassifier(max_iter=10000, random_state=27033074)",401,PowerTransformer(),,0,True,60
0.738375,0.748225,0.731675,0.7635,"MLPClassifier(max_iter=10000, random_state=27033074)",401,QuantileTransformer(random_state=27033074),,0,True,60
0.747975,0.743375,0.755,0.7677,"MLPClassifier(max_iter=10000, random_state=27033074)",401,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True,60
0,0,0,0.5435,"SVC(gamma='auto', random_state=27033074)",401,,,0,True,60
0.746175,0.7824,0.715875,0.777925,"SVC(gamma='auto', random_state=27033074)",401,StandardScaler(),,0,True,60
0.416475,0.878025,0.27585,0.651025,"SVC(gamma='auto', random_state=27033074)",401,MinMaxScaler(),,0,True,60
0.381125,0.892125,0.245375,0.641025,"SVC(gamma='auto', random_state=27033074)",401,MaxAbsScaler(),,0,True,60
0.74185,0.7524,0.734125,0.76695,"SVC(gamma='auto', random_state=27033074)",401,RobustScaler(),,0,True,60
0.78085,0.79375,0.771225,0.80235,"SVC(gamma='auto', random_state=27033074)",401,PowerTransformer(),,0,True,60
0.778,0.7711,0.787475,0.79495,"SVC(gamma='auto', random_state=27033074)",401,QuantileTransformer(random_state=27033074),,0,True,60
0.7429,0.78825,0.704575,0.777325,"SVC(gamma='auto', random_state=27033074)",401,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True,60
0.720925,0.77615,0.675025,0.762525,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",401,,,0,True,60
0.7317,0.728325,0.738375,0.752875,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",401,StandardScaler(),,0,True,60
0.7128,0.7178,0.71125,0.73885,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",401,MinMaxScaler(),,0,True,60
0.71385,0.73205,0.700875,0.7445,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",401,MaxAbsScaler(),,0,True,60
0.741875,0.737075,0.74995,0.76175,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",401,RobustScaler(),,0,True,60
0.768625,0.747875,0.7934,0.78215,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",401,PowerTransformer(),,0,True,60
0.768775,0.762575,0.77705,0.786725,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",401,QuantileTransformer(random_state=27033074),,0,True,60
0.758675,0.73745,0.78295,0.773075,"KNeighborsClassifier(n_jobs=-1, n_neighbors=10)",401,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,True,60
0.498625,0.431375,0.74455,0.4744,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",401,,,0,True,60
0.690375,0.712125,0.678225,0.722425,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",401,StandardScaler(),,0,True,60
0.684025,0.752425,0.677475,0.72965,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",401,MinMaxScaler(),,0,True,60
0.68995,0.75335,0.685,0.731425,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",401,MaxAbsScaler(),,0,True,60
0.702525,0.70325,0.706625,0.728125,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",401,RobustScaler(),,0,True,60
0.703025,0.713175,0.69665,0.733125,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",401,PowerTransformer(),,0,True,60
0.6591,0.738675,0.672925,0.723025,"SGDClassifier(loss='log', n_jobs=-1, random_state=27033074)",401,QuantileTransformer(random_state=27033074),,0,True,60
